Job Role,Company,Job Type,Location,Experience,Salary per annual,Description,Key Skills,Posted on,Apply link
Analyst - Data Services,RF Managed Services,work from office,Chennai,2-4 Yrs,up to 300000,GraduatesPost Graduates in any stream Skill SetCompetencies Required Laterals wit...,Application support Automation Data conversion Managed services Data management MIS microsoft Macros,30+ Days Ago,https:www.naukri.comjob-listings-Analyst-Data-services-rf-managed-services-india-pvt-ltd-2-to-4-years-170622500447
Analyst Programmer- RPA,CreditAccess Grameen,work from office,Chennai,2-6 Yrs,up to 300000,Proven ability to bridge technology and Business goal to provideProductive solutions t...,Python Django power bi retail finance,7 Days Ago,https:www.naukri.comjob-listings-Analyst-programmer-rpa-creditaccess-grameen-2-to-6-years-231222004348
Analytical Executive,GVK Emergency Management and Research Institute (GVK EMRI),work from office,Chennai,4-7 Yrs,up to 300000,Experience working in a team setting and desire to take leadership s within a team ...,Excel Data Analysis SQL Server Data mining research analysis ,1 Day Ago,https:www.naukri.comjob-listings-analytical-executive-gvk-emergency-management-and-research-institute-gvk-emri-4-to-7-years-291222005336
Analytics Consultant,Chryselys,work from office,Chennai,2-5 Yrs,up to 300000,5 years of relevant post-collegiate job experience Bachelor s or master s degree requir...,IT Skills Data Science Cloud AWS Tableau Azure Data analysis Staffing,30+ Days Ago,https:www.naukri.comjob-listings-analytics-consultant-chryselys-gurgaon-gurugram-2-to-5-years-261022501646
Analytics Modeler - SAS Economics - Candidates with BAMA(Economics),Smartlyhr,work from office,Chennai,3-6 Yrs,up to 300000,Demand & Time Series forecasting modeling Salary NO BARCandidates with GOOD EXP IN...,Economic Research SAS,21 Days Ago,https:www.naukri.comjob-listings-analytics-modeler-sas-economics-candidates-with-ba-ma-economics-smartlyhr-delhi-ncr-3-to-6-years-210422002181
Associate,GiveIndia Foundation,work from office,Chennai,2-5 Yrs,up to 300000,A minimum 2-5 years experience in social sectorCSRimpact assessmentmonitoring ...,Administration Data analysis Publishing CSR Data management Report writing Data collection Data analytics,20 Days Ago,https:www.naukri.comjob-listings-associate-giveindia-foundation-hyderabad-secunderabad-2-to-5-years-091222500906
Associate Data Analyst - Services,Urjanet Energy Solutions,work from office,Chennai,0-2 Yrs,up to 300000,Should be proficient with Windows and MS office tools such as Excel Fresher graduates o...,X Data Excel MS office Data analysis Quality standards Associate Data Analyst Data modeling Data collection,30+ Days Ago,https:www.naukri.comjob-listings-associate-Data-Analyst-Data-Analyst-services-urjanet-0-to-2-years-300922500379
Associate State Reform,The Education Alliance,work from office,Chennai,0-1 Yrs,up to 300000,Graduates or those with 0-1 years of experience looking to advance their career in the ...,Data analysis Automation Interpersonal skills Excel Networking Project management Programming Data Analyst,30+ Days Ago,https:www.naukri.comjob-listings-associate-state-reform-the-education-alliance-0-to-1-years-121022501876
Business Analyst,RCPC,work from office,Chennai,1-3 Yrs,up to 300000,Understand analyze and validate the Business needs of customersDocument Business proce...,Business Analysis QA Data analysis documentation implementation ,15 Days Ago,https:www.naukri.comjob-listings-Business-Analyst-rcpc-1-to-3-years-151222909512
Business Strategy Analyst,Silres Energy Solutions,work from office,Chennai,0-4 Yrs,up to 300000,A bachelors degree in Businesscommerceeconomicsengineeringrelated field or an M...,project management secondary research Data analytics stakeholder management excel powerpoint program management cost benefit analysis project planning,9 Days Ago,https:www.naukri.comjob-listings-Business-strategy-Analyst-silres-energy-solutions-private-limited-mumbai-0-to-4-years-211222007590
Computer Operator,Tentrox Studios,work from office,Chennai,0-3 Yrs,up to 300000,"Have anyone told your face ""You are not a human""If it is tech do people turn to you?Are...",excel Advanced Excel Computer Skills Excel Macros Python Computer Savvy computer operating Typing,6 Days Ago,https:www.naukri.comjob-listings-computer-operator-tentrox-studios-0-to-3-years-241222005111
CP Analyst,Shell,work from office,Chennai,1-3 Yrs,up to 300000,May work in different shifts to cater to the different time zones of the stakeholders i...,ERP project management SAP project execution,1 Day Ago,https:www.naukri.comjob-listings-cp-Analyst-shell-india-markets-private-limited-1-to-3-years-291222903178
Data Analyst,iPro Games,work from office,Coimbatore,2-5 Yrs,up to 300000,Hands on experience in Redshift BigData Meta Base Python script ETL and MySQL is a ...,Data analysis ETL Data mining Python Data BigData Technologies mysql,11 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-ipro-games-coimbatore-2-to-5-years-161122007679
Data Analyst,Applycup Hiring Solutions Llp,work from office,Chennai,0-2 Yrs,up to 300000,GraduateEngineerPost-Graduate with a huge interest in handling numbers Freshers who...,Performance tuning Coding Artificial Intelligence Machine learning Data Analyst Data analytics Analyst 3 Statistics,4 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-applycup-hiring-solutions-llp-0-to-2-years-261222501141
Data Analyst,CaratLane,work from office,Chennai,1-3 Yrs,up to 300000,Need to have a very good knowledge of Advanced MS Excel Should be able to learn new sof...,Excel Data Analyst Management SQL,3 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-caratlane-1-to-3-years-271222500707
Data Analyst,Automotive Robotics India,work from office,Chennai,0-1 Yrs,up to 300000,Data ScienceAnalytics Engineercollaborates with Business and analytics leaders to gene...,Data science SAS Data management Analytical Quality systems Predictive modeling Data mining Forecasting,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-automotive-robotics-india-pvt-ltd-0-to-1-years-081022500099
Data Analyst,The Education Alliance,work from office,Chennai,2-4 Yrs,up to 300000,Preferred to have programming experience (Python R & others) and working knowledge in ...,Root cause analysis Data analysis Interpersonal skills Networking Project management Data collection Gap analysis Data Analyst,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-the-education-alliance-2-to-4-years-121022501877
Data Analyst,Demos Project,work from office,Chennai,4-5 Yrs,up to 300000,They must have strong experience using a variety of Data miningData analysis methods...,Data analysis Social media Data Analyst Data mining Testing ,21 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-demos-project-pvt-ltd-4-to-5-years-081222501970
Data Analyst,TLX Tech Solutions,work from office,Coimbatore ,0-1Yrs,up to 300000,Perform Data mining & analyzing Data to optimize Business strategies. Develop Data mode...,SQL Good communication skills and problem-solving skills. Excel Sheet,8 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-tlx-tech-solutions-coimbatore-marthandam-0-to-0-years-221222011196
Data Analyst - Customer Support and Services,Urjanet Energy Solutions,work from office,Chennai,0-2 Yrs,up to 300000,Should possess good communication analytical skills team interaction and proficiency ...,Data analysis SQL queries analytical Pivots MS Excel communication Analytical skills Excel,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-customer-support-and-services-urjanet-0-to-2-years-071122502034
Data Analyst - Customer Support and Services,Arcadia,work from office,Chennai,0-4 Yrs,up to 300000,Should possess good communication analytical skills team interaction and proficiency ...,communication analytical Data analysis MS Excel SQL queries Pivots Analytical skills Excel,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-customer-support-and-services-arcadia-0-to-4-years-071122501230
Data Analyst - Organic Chemistry,Perfect Digital Media Resources,work from office,Chennai,1-5 Yrs,up to 300000,Candidates with lab experience preferredGood written & verbal communication PhD in Orga...,organic chemistry phd chemistry Communication Skills e-publishing lab,8 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-organic-chemistry-perfect-digital-media-resources-1-to-5-years-221222004816
Data Analyst - Subscription Management,Urjanet Energy Solutions,work from office,Chennai,0-3 Yrs,up to 300000,Should possess good communication analytical skills team interaction and proficiency ...,Data analysis SQL queries analytical Pivots MS Excel communication Analytical skills Excel,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-subscription-management-urjanet-0-to-3-years-300922500380
Data Analyst ,Saisystems Technology,Hybrid,Chennai,3-7 Yrs,up to 300000,Good communication (verbal & written),Revenue Cycle Management US Healthcare Advanced Ms Excel Data Analyst Microsoft Office Suite Microsoft Excel Query communication,18 Days Ago,https:www.naukri.comjob-listings-hiring-Data-Analyst-for-saisystems-health-saisystems-technology-3-to-7-years-121222003969
Data Analyst INTERN,VR Careerz,work from office,Chennai,2-6 Yrs,up to 300000,Proven experience as a Data Analyst or Business Data Analyst (Excel SPSS SAS etc),Data analysis SAS Coding Staffing Process improvement XML Javascript SPSS,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-intern-vr-careerz-2-to-6-years-180822502514
Data Analyst s inChennai,Job Seeks 4u Consultancy Services,work from office,Chennai,2-5 Yrs,up to 300000,Process: Data analytics engineer Location:Chennai Experience: 3 Years Shift: day shift...,day shift Data Engineering Data Analysis Data Analytics Email Support Typing Word Data Management,13 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-jobs-in-seeks-4u-consultancy-services-2-to-5-years-171222003560
Data Entry Analyst,The New Indian Express,work from office,Chennai,1-3 Yrs,up to 300000,Skills required: Ability to assimilate organize and filter Data from various sources C...,Analyst CVS Web technologies CMS SEM SEO Data entry ,30+ Days Ago,https:www.naukri.comjob-listings-Data-entry-Analyst-the-new-indian-express-1-to-3-years-181022501381
Data Entry Executive ,Infocareer Pvt Ltd,work from office,Chennai,0-1 Yrs,up to 300000,Job Location (Siruseri)- OMR (No Work from Home Options) Job  : Data Annot...,Data Annotation Artificial Intelligence Data Processing Data Entry Machine Learning ,6 Days Ago,https:www.naukri.comjob-listings-Data-entry-executive-siruseri-infocareer-pvt-ltd-0-to-1-years-241222004623
Data Processing Analyst,Integrated Personnel Services,work from office,Chennai,1-5 Yrs,up to 300000,Experience - 1-6 Years Good communication skills,Quantum Data processing spss communication ASCII Excel MRDCL ,30+ Days Ago,https:www.naukri.comjob-listings-Data-processing-Analyst-integrated-personnel-services-bangalore-bengaluru-mumbai-all-areas-1-to-5-years-291122006934
Data Quality Analyst,IDP India,work from office,Chennai,2-5 Yrs,up to 300000,Minimum 2 years of experience as a Business process associate Admission entry requireme...,Data analysis Backend Business Process Associate Back office Data collection power bi UAT Data visualization,11 Days Ago,https:www.naukri.comjob-listings-Data-quality-Analyst-idp-india-2-to-5-years-191222501213
Data Quality Analyst,IDP,work from office,Chennai,3-6 Yrs,up to 300000,The Data Quality Analysts  required a highly skilled course Data professional with...,Training Data Quality Analyst Teaching Testing,11 Days Ago,https:www.naukri.comjob-listings-Data-quality-Analyst-idp-education-india-pvt-ltd-3-to-6-years-191222501208
Digital Data Analyst,Automotive Robotics India,work from office,Chennai,0-1 Yrs,up to 300000,Bachelors degree in Engineering (Mechanical Automobile Electrical Electronics its al...,Condition monitoring Automobile tableau Analytical Mechanical Electronics Data Analyst Business intelligence,30+ Days Ago,https:www.naukri.comjob-listings-digital-Data-Analyst-automotive-robotics-india-pvt-ltd-0-to-1-years-220722502407
Digital Process Expert,Shell,work from office,Chennai,2-4 Yrs,up to 300000,The Typically:â€¢ Manages one or more tactical information and Data projects.â€¢ Influe...,Digital Process Data project Data analysis ,4 Days Ago,https:www.naukri.comjob-listings-digital-process-expert-shell-india-markets-private-limited-2-to-4-years-261222907371
GIS Analyst,P S International HR Consultants,work from office,Chennai,0-2 Yrs,up to 300000,Experience in Handling Point Cloud DataClassification and Measurement Required Goo...,Data analysis Image processing Renewable energy AutoCAD Analytical Microstation Remote sensing Analytics,30+ Days Ago,https:www.naukri.comjob-listings-gis-Analyst-p-s-international-hr-consultants-0-to-2-years-081022500069
MIS Analyst,20cube Warehousing And Distribution,work from office,Chennai,3-5 Yrs,up to 300000,Bachelor s degree in any domain5 years experienced in preparing reports in excel (prefe...,Automation Data validation Interpersonal skills MS Access VLOOKUP Conditional formatting VB Powerpoint,30+ Days Ago,https:www.naukri.comjob-listings-mis-Analyst-20cube-warehousing-and-distribution-3-to-5-years-151122501024
MIS Analyst,20cube Logistics,work from office,Chennai,3-5 Yrs,up to 300000,Bachelors degree in any domain5 years experienced in preparing reports in excel (prefer...,Automation Data validation Interpersonal skills MS Access VLOOKUP Conditional formatting Advanced Excel VB,30+ Days Ago,https:www.naukri.comjob-listings-mis-Analyst-20cube-logistics-3-to-5-years-190922502948
MIS Executive,NRG Recruiter,work from office,Madurai,2-3 Yrs,up to 300000,Gender:Male Skills:Excel Data Handling Experience:2-3 Years Salary:15000 Time:9.45am-7...,Excel MIS Reporting,21 Days Ago,https:www.naukri.comjob-listings-mis-executive-nrg-recruiter-madurai-2-to-3-years-091222006175
Process Analyst,Diverse Lynx,work from office,Chennai,1-4 Yrs,up to 300000,Should have a very good verbal and written communication skillITIL foundation is a must...,COBIT verbal written communication ISO 20k Excel MS - Powerpoint word ITIL,7 Days Ago,https:www.naukri.comjob-listings-process-Analyst-diverse-lynx-1-to-4-years-221222500567
SAP - Master Data Analyst,Persolkelly India,work from office,Chennai,0-2 Yrs,up to 300000,Flexible to work in rotational shiftTake ownershipglobal Data management governan...,SAP MM module Data management Finance Business rules Data quality Data integrity Data Analyst Troubleshooting,1 Day Ago,https:www.naukri.comjob-listings-sap-master-Data-Analyst-persolkelly-0-to-2-years-291222502032
SAP DI,RCPC,work from office,Chennai,4-6 Yrs,up to 300000,Well versed with building custom operators based on custom docker containers.SAP Data I...,SAP DI docker CI CD python SAP Data Intelligence NodeJS QA Data sources,28 Days Ago,https:www.naukri.comjob-listings-sap-di-rcpc-kolkata-mumbai-pune-gurgaon-gurugram-ahmedabad-delhi-ncr-bangalore-bengaluru-4-to-6-years-011222911938
Senior Data Analyst,Arcadia,work from office,Chennai,5-7 Yrs,up to 300000,Experience working with Business operations teams Extensive experience BI tools like Lo...,Data science communication Tableau Python Looker Data analytics R Business analytics,20 Days Ago,https:www.naukri.comjob-listings-senior-Data-Analyst-arcadia-5-to-7-years-101222500039
Sr. Process Data Engineer,Shell,work from office,Chennai,2-4 Yrs,up to 300000,Full time equivalent Degree Petum Engineering with minimum of 2 years experienceWor...,Process Data Engineering IVM IPSM Excel Asset Management System IPSM Models Project management Analytical,4 Days Ago,https:www.naukri.comjob-listings-sr-process-Data-engineer-shell-india-markets-private-limited-2-to-4-years-261222907582
Taxroll Expert (Data Analyst),PARK GLOBAL HR SERVICES PRIVATE LIMITED,work from office,Coimbatore,1-5 Yrs,up to 300000,Willing to work in night shift education graduate in IT Computer Science Computer app...,night shift Data analysis sql Database verbal communication analysis SQL analytical MySQL,30+ Days Ago,https:www.naukri.comjob-listings-taxroll-expert-Data-Analyst-park-global-hr-services-private-limited-coimbatore-1-to-5-years-151122606596
MISSr.Executive ,Orcapod Consulting Services Private Limited,Temp.WFH,Chennai,2-7 Yrs,up to 300000,Required knowledge in advanced excel (like,Power Bi Advanced Excel Tableau Macros Pivot Table VLOOKUP mis HLOOKUP,30+ Days Ago,https:www.naukri.comjob-listings-urgent-mis-sr-executive-orcapod-consulting-services-private-limited-2-to-7-years-021122604223
 Business Analyst ,Saisystems Technology,Hybrid,Chennai,3-8 Yrs,300000 - 600000,Coupled with Saisystems Health s managed service TheSNFist suite ofProducts and solut...,Business Analyst Brd FRD Scrum US Healthcare Variance analysis analysis Analytical,21 Days Ago,https:www.naukri.comjob-listings-hiring-Business-Analyst-for-saisystems-digital-saisystems-technology-3-to-8-years-311022007253
Data Analyst ,Saisystems Technology,Hybrid,Chennai,3-7 Yrs,300000 - 600000,Good communication (verbal & written),Revenue Cycle Management US Healthcare Advanced Ms Excel Data Analyst Microsoft Office Suite Microsoft Excel Query communication,18 Days Ago,https:www.naukri.comjob-listings-hiring-Data-Analyst-for-saisystems-health-saisystems-technology-3-to-7-years-121222003969
